Age	Months	ID	Gender	Condition	RT	Accuracy	Pure Case	Pure RT	MixRepCase	MixRepRT	MixSwiCase	MixSwiRT	PRspRCase	PRspRRT	PRspSCase	PRspSRT	MRspRCase	MRspRRT	MRspSCase	MRspSRT	Pure Correct	MixCorrect	MixRepCorrect	MixSwiCorrect	PureOmi	MixOmi	PRepOmi	MRepOmi	MSwiOmi	TotalOmi	PureCom	MixCom	PRepCom	MRepCom	MSwiCom	TotalCom	TotalOmi	AllError
6-year-old	78	OE025	f	1	1.042	0.98611	32	0.85148	33	1.1527	11	1.2984	11	0.7985	21	0.87618	12	1.0453	21	1.2144	0.98148	0.98611	0.98148	1	0	1	0	1	0	1	1	0	1	0	0	1	1	2
6-year-old	79	OE026	f	2	1.0714	0.72222	27	1.1668	31	0.87413	7	1.3045	11	1.1963	16	1.1446	14	0.66399	17	1.0454	0.77778	0.68056	0.72222	0.55556	9	6	5	2	4	15	8	17	7	13	4	25	15	40
Adult	235	AE001	f	1	0.65832	0.99306	32	0.62696	32	0.67301	10	0.70644	14	0.61169	18	0.63943	12	0.59204	20	0.71812	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1
Adult	500	AE002	m	2	0.71995	1	31	0.66999	32	0.72681	12	0.84056	13	0.57335	18	0.73761	12	0.64704	20	0.77642	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adult	363	AE003	m	1	0.71638	0.98611	30	0.73542	32	0.72654	11	0.65146	11	0.67647	19	0.76871	12	0.65815	20	0.76639	0.98148	0.98611	0.98148	1	1	0	1	0	0	1	0	1	0	1	0	1	1	2
Adult	381	AE004	f	2	0.91038	1	33	0.80503	34	1.0146	12	1.0345	15	0.76092	18	0.84171	14	0.99086	20	1.0291	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adult	541	AE005	f	1	1.1175	1	32	1.1269	32	1.1169	11	1.194	11	1.4376	21	0.9655	11	1.2313	21	1.0592	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adult	347	AE006	f	2	0.55456	0.96528	33	0.46431	31	0.64803	10	0.6752	8	0.46426	25	0.46438	13	0.6362	18	0.6583	0.98148	0.94444	0.94444	0.94444	0	0	0	0	0	0	1	4	1	3	1	5	0	5
Adult	383	AE007	f	1	0.61191	0.98611	32	0.57536	31	0.61276	11	0.74949	8	0.63514	24	0.55494	13	0.55917	18	0.65243	0.98148	0.98611	0.98148	1	0	0	0	0	0	0	1	1	1	1	0	2	0	2
Adult	338	AE008	f	2	0.6344	0.97917	32	0.61446	32	0.67218	10	0.62649	14	0.63516	18	0.5992	12	0.6321	20	0.69574	1	0.97222	0.96296	1	0	0	0	0	0	0	1	2	0	2	0	3	0	3
Adult	319	AE009	f	1	0.60383	0.98611	31	0.58359	32	0.59361	12	0.63879	13	0.56994	18	0.59267	12	0.62478	20	0.57521	0.98148	0.98611	0.98148	1	0	0	0	0	0	0	1	1	1	1	0	2	0	2
Adult	277	AE010	m	2	0.60484	1	31	0.64008	32	0.55194	11	0.58033	11	0.60502	20	0.65925	12	0.57345	20	0.53925	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adult	341	AE011	f	1	0.46432	0.95139	33	0.50101	34	0.44363	12	0.41494	15	0.50897	18	0.49383	14	0.42499	20	0.45618	0.96296	0.94444	0.96296	0.88889	0	0	0	0	0	0	3	4	2	2	2	7	0	7
Adult	317	AE012	f	2	0.76186	1	32	0.77972	32	0.73372	11	0.69168	11	0.72281	21	0.8095	11	0.75234	21	0.72289	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adult	254	AE013	f	1	0.84256	0.97917	32	0.87522	34	0.78796	11	0.77711	11	0.89763	21	0.8623	12	0.73225	22	0.81847	0.96296	0.98611	0.98148	1	0	0	0	0	0	0	2	1	2	1	0	3	0	3
Adult	664	AE014	m	2	0.86148	0.97222	31	0.79294	32	0.97049	12	0.81197	9	0.83809	22	0.77627	17	0.86334	15	1.0968	1	0.94444	0.92593	1	0	1	0	1	0	1	0	3	0	3	0	3	1	4
Adult	350	AE015	f	1	0.94598	0.99306	32	0.85581	34	0.94779	11	1.0618	8	0.7937	24	0.87614	15	0.86847	19	1.0109	0.98148	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1
Adult	244	AE016	m	2	0.92657	0.94444	31	0.96757	32	0.75168	10	0.98038	14	0.80985	17	1.1003	12	0.57183	20	0.85933	0.96296	0.93056	0.90741	1	1	0	1	0	0	1	2	5	1	5	0	7	1	8
Adult	528	AE017	m	1	0.68366	0.94444	32	0.63787	34	0.64563	11	0.91949	10	0.60524	22	0.65301	16	0.62845	18	0.66099	0.94444	0.93056	0.92593	0.94444	0	0	0	0	0	0	3	5	3	4	1	8	0	8
Adult	247	AE018	m	1	0.83255	0.99306	34	0.83514	32	0.84804	11	0.77847	12	0.88814	22	0.80587	14	0.78825	18	0.89392	1	0.98611	1	0.94444	0	0	0	0	0	0	0	1	0	0	1	1	0	1
Adult	282	AE019	f	1	0.73734	0.99306	31	0.70659	34	0.76383	10	0.82269	11	0.65675	20	0.73383	17	0.77593	17	0.75273	0.98148	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1
Adult	257	AE020	f	2	0.63071	0.95833	31	0.5252	32	0.68317	10	0.83915	14	0.52531	17	0.52559	15	0.56984	17	0.78321	0.96296	0.95833	1	0.83333	2	1	1	0	1	3	1	2	1	0	2	3	3	6
Adult	386	AE021	m	1	0.63233	0.95139	33	0.5462	35	0.71484	11	0.69522	15	0.52137	18	0.5658	13	0.62093	22	0.77175	0.92593	0.95833	0.96296	0.94444	0	0	0	0	0	0	4	3	4	2	1	7	0	7
Adult	330	AE022	f	2	0.67781	0.99306	32	0.67363	32	0.69856	10	0.66778	14	0.64396	18	0.69735	12	0.69146	20	0.70104	1	0.98611	0.98148	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1
